"comparison_order","mapping_id","focus_group","position","baseline_metric","current_metric","comparison_unit","difference_method","n_paired_finite","mean_difference","sd_difference","mean_absolute_difference","root_mean_square_difference","pearson_correlation","spearman_correlation","minimum_difference","q025_difference","q25_difference","median_difference","q75_difference","q975_difference","maximum_difference","n_negative_difference_lt_minus_1e_12","n_absolute_difference_lte_1e_12","n_positive_difference_gt_1e_12"
6,"D06","mapped_daily_metric","chest","brightest_10h_offset","m10_offset","decimal_hour","circular_24h_current_minus_baseline",894,-0.0616890380313198,1.0224820154599,0.313255033557047,1.02377027716799,0.559980596706436,0.846291663038908,-8.35,-2.6625,0.0166666666666657,0.0166666666666657,0.0166666666666693,1.91708333333333,6.78333333333333,78,0,816
6,"D06","mapped_daily_metric","glasses","brightest_10h_offset","m10_offset","decimal_hour","circular_24h_current_minus_baseline",809,-0.0653275648949325,1.16608008849906,0.354491141326741,1.16718879951934,0.345305846128321,0.794378715987257,-11.45,-2.98666666666667,0.0166666666666657,0.0166666666666657,0.0166666666666693,2.01333333333333,6.18333333333333,77,1,731
7,"D07","mapped_daily_metric","chest","darkest_10h_mean","l10_mean_medi","lx","linear_current_minus_baseline",897,0.00988448923375806,0.103622341700564,0.00988448923375913,0.104035197264397,0.990067420483256,0.979031381626688,-4.9737991503207e-14,-4.48530101948563e-15,-2.77555756156289e-16,0,2.35922392732846e-16,0.0178029324449188,2.29926101085092,0,866,31
7,"D07","mapped_daily_metric","glasses","darkest_10h_mean","l10_mean_medi","lx","linear_current_minus_baseline",811,0.0154207876286592,0.141061242643146,0.0154207876286607,0.141815159229346,0.961737617258476,0.970518378188326,-7.28306304154103e-14,-5.74540415243519e-15,-3.88578058618805e-16,0,4.44089209850063e-16,0.0540452306160347,2.15956994281391,0,778,33
8,"D08","mapped_daily_metric","chest","darkest_10h_midpoint","l10_midpoint","centered_decimal_hour","circular_24h_current_minus_baseline",894,0.109414615958239,0.738565048303958,0.222501864280388,0.746216948366446,0.91405723746549,0.949511534673035,-11.2833333333333,-0.300000000000001,0.0166666666666657,0.0166666666666657,0.0166666666666675,1.83916666666666,5.7,38,3,853
8,"D08","mapped_daily_metric","glasses","darkest_10h_midpoint","l10_midpoint","centered_decimal_hour","circular_24h_current_minus_baseline",809,0.13421920065925,0.575750668240696,0.196065100947671,0.590841666157519,0.866190997556637,0.944355927636589,-5.35,-0.0500000000000007,0.0166666666666657,0.0166666666666657,0.0166666666666675,1.65333333333333,4.98333333333333,22,0,787
9,"D09","mapped_daily_metric","chest","darkest_10h_onset","l10_onset","centered_decimal_hour","circular_24h_current_minus_baseline",894,0.0906040268456381,0.740239433471649,0.209358687546607,0.745352657566329,0.858360107862224,0.936891542967603,-11.3,-0.344583333333335,0,0,0,1.8225,5.68333333333333,42,635,217
9,"D09","mapped_daily_metric","glasses","darkest_10h_onset","l10_onset","centered_decimal_hour","circular_24h_current_minus_baseline",809,0.112649361351463,0.57669191862474,0.180140090646889,0.587241309382846,0.949205037414101,0.952053165189842,-5.36666666666666,-0.136666666666665,0,0,0,1.63666666666666,4.96666666666667,24,619,166
10,"D10","mapped_daily_metric","chest","darkest_10h_offset","l10_offset","centered_decimal_hour","circular_24h_current_minus_baseline",894,0.109507829977628,0.738548058804032,0.222445935868755,0.746213825473879,0.858665619619939,0.937375353902696,-11.2833333333333,-0.3,0.0166666666666657,0.0166666666666657,0.0166666666666675,1.83916666666667,5.7,37,3,854
10,"D10","mapped_daily_metric","glasses","darkest_10h_offset","l10_offset","centered_decimal_hour","circular_24h_current_minus_baseline",809,0.13421920065925,0.575750668240696,0.196065100947672,0.590841666157519,0.816898769644662,0.925734464855062,-5.35,-0.0500000000000007,0.0166666666666657,0.0166666666666657,0.0166666666666675,1.65333333333333,4.98333333333333,22,0,787
