"source","category","in_code","occurrences"
"audit/hypotheses/H06/H06_analysis_preparation.qmd","specialist",FALSE,18
"audit/hypotheses/H07/H07_analysis_preparation.qmd","specialist",FALSE,23
"audit/hypotheses/H08/H08_analysis_preparation.qmd","specialist",FALSE,16
"audit/hypotheses/H09/H09_analysis_preparation.qmd","specialist",FALSE,17
"audit/hypotheses/H10/H10_analysis_preparation.qmd","specialist",FALSE,18
"audit/hypotheses/H11/H11_analysis_preparation.qmd","specialist",FALSE,21
"audit/hypotheses/implementation_result_comparison_contract.qmd","specialist",FALSE,11
"index.qmd","specialist",FALSE,26
"notebooks/descriptives.qmd","specialist",FALSE,3
"notebooks/hypotheses/H01.qmd","specialist",FALSE,41
"notebooks/hypotheses/H02.qmd","specialist",FALSE,19
"notebooks/hypotheses/H03.qmd","specialist",FALSE,33
"notebooks/hypotheses/H04.qmd","specialist",FALSE,25
"notebooks/hypotheses/H05.qmd","specialist",FALSE,23
"notebooks/hypotheses/H06.qmd","specialist",FALSE,38
"notebooks/hypotheses/H07.qmd","specialist",FALSE,18
"notebooks/hypotheses/H08.qmd","specialist",FALSE,22
"notebooks/hypotheses/H09.qmd","specialist",FALSE,26
"notebooks/hypotheses/H10.qmd","specialist",FALSE,20
"notebooks/hypotheses/H11.qmd","specialist",FALSE,32
"notebooks/preparation/03_reference_profiles.qmd","specialist",FALSE,2
"notebooks/preparation/06_model_ready_datasets.qmd","specialist",FALSE,2
"notebooks/sensitivity_battery.qmd","specialist",FALSE,3
"supplementary_information.qmd","specialist",FALSE,2
"audit/hypotheses/H01/H01_analysis_preparation.qmd","deviation",TRUE,2
"audit/hypotheses/H02/H02_analysis_preparation.qmd","deviation",TRUE,3
"audit/hypotheses/H03/H03_analysis_preparation.qmd","deviation",TRUE,6
"audit/hypotheses/H04/H04_analysis_preparation.qmd","deviation",TRUE,7
"audit/hypotheses/H10/H10_analysis_preparation.qmd","deviation",TRUE,2
"notebooks/hypotheses/H01.qmd","deviation",TRUE,23
"notebooks/hypotheses/H02.qmd","deviation",TRUE,10
"notebooks/hypotheses/H03.qmd","deviation",TRUE,8
"notebooks/hypotheses/H04.qmd","deviation",TRUE,11
"notebooks/hypotheses/H05.qmd","deviation",TRUE,7
"notebooks/hypotheses/H08.qmd","deviation",TRUE,2
"notebooks/hypotheses/H11.qmd","deviation",TRUE,11
"audit/hypotheses/H01/H01_analysis_preparation.qmd","internal_workflow",TRUE,84
"audit/hypotheses/H02/H02_analysis_preparation.qmd","internal_workflow",TRUE,45
"audit/hypotheses/H03/H03_analysis_preparation.qmd","internal_workflow",TRUE,49
"audit/hypotheses/H04/H04_analysis_preparation.qmd","internal_workflow",TRUE,64
"audit/hypotheses/H05/H05_analysis_preparation.qmd","internal_workflow",TRUE,92
"audit/hypotheses/H06/H06_analysis_preparation.qmd","internal_workflow",TRUE,57
"audit/hypotheses/H07/H07_analysis_preparation.qmd","internal_workflow",TRUE,37
"audit/hypotheses/H08/H08_analysis_preparation.qmd","internal_workflow",TRUE,79
"audit/hypotheses/H09/H09_analysis_preparation.qmd","internal_workflow",TRUE,62
"audit/hypotheses/H10/H10_analysis_preparation.qmd","internal_workflow",TRUE,150
"audit/hypotheses/H11/H11_analysis_preparation.qmd","internal_workflow",TRUE,68
"notebooks/assemble_artifacts.qmd","internal_workflow",TRUE,1
"notebooks/descriptives.qmd","internal_workflow",TRUE,4
"notebooks/hypotheses/H01.qmd","internal_workflow",TRUE,29
"notebooks/hypotheses/H02.qmd","internal_workflow",TRUE,22
"notebooks/hypotheses/H03.qmd","internal_workflow",TRUE,9
"notebooks/hypotheses/H04.qmd","internal_workflow",TRUE,10
"notebooks/hypotheses/H05.qmd","internal_workflow",TRUE,35
"notebooks/hypotheses/H06.qmd","internal_workflow",TRUE,21
"notebooks/hypotheses/H07.qmd","internal_workflow",TRUE,4
"notebooks/hypotheses/H08.qmd","internal_workflow",TRUE,7
"notebooks/hypotheses/H09.qmd","internal_workflow",TRUE,5
"notebooks/hypotheses/H10.qmd","internal_workflow",TRUE,9
"notebooks/hypotheses/H11.qmd","internal_workflow",TRUE,50
"notebooks/preparation/01_import_state_alignment.qmd","internal_workflow",TRUE,81
"notebooks/preparation/02_coverage_sample_flow.qmd","internal_workflow",TRUE,46
"notebooks/preparation/03_reference_profiles.qmd","internal_workflow",TRUE,75
"notebooks/preparation/04_metric_derivation.qmd","internal_workflow",TRUE,241
"notebooks/preparation/05_model_input_acquisition.qmd","internal_workflow",TRUE,87
"notebooks/preparation/06_model_ready_datasets.qmd","internal_workflow",TRUE,347
"notebooks/preparation/07_example_days.qmd","internal_workflow",TRUE,71
"audit/hypotheses/H01/H01_analysis_preparation.qmd","legacy_history",TRUE,1
"audit/hypotheses/H06/H06_analysis_preparation.qmd","legacy_history",TRUE,1
"notebooks/preparation/03_reference_profiles.qmd","legacy_history",TRUE,4
"notebooks/preparation/04_metric_derivation.qmd","legacy_history",TRUE,6
"notebooks/preparation/06_model_ready_datasets.qmd","legacy_history",TRUE,6
"audit/hypotheses/H01/H01_analysis_preparation.qmd","placement_sample",TRUE,46
"audit/hypotheses/H02/H02_analysis_preparation.qmd","placement_sample",TRUE,55
"audit/hypotheses/H03/H03_analysis_preparation.qmd","placement_sample",TRUE,43
"audit/hypotheses/H04/H04_analysis_preparation.qmd","placement_sample",TRUE,45
"audit/hypotheses/H05/H05_analysis_preparation.qmd","placement_sample",TRUE,46
"audit/hypotheses/H06/H06_analysis_preparation.qmd","placement_sample",TRUE,42
"audit/hypotheses/H07/H07_analysis_preparation.qmd","placement_sample",TRUE,34
"audit/hypotheses/H08/H08_analysis_preparation.qmd","placement_sample",TRUE,31
"audit/hypotheses/H09/H09_analysis_preparation.qmd","placement_sample",TRUE,17
"audit/hypotheses/H10/H10_analysis_preparation.qmd","placement_sample",TRUE,28
"audit/hypotheses/H11/H11_analysis_preparation.qmd","placement_sample",TRUE,24
"notebooks/descriptives.qmd","placement_sample",TRUE,17
"notebooks/hypotheses/H01.qmd","placement_sample",TRUE,60
