run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,random_site_sd,random_site_singular,fixed_site_aic,random_site_aic,random_minus_fixed_aic,status
main__glasses__all_available,main,glasses,all_available,primary,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,0.14991814329128483,FALSE,1784.6397887407024,1787.0717611252903,2.431972384588107,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,,FALSE,3196.8196222200563,3197.0968289886187,0.27720676856233695,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,0,TRUE,648.687568491615,643.3147046053998,-5.372863886215214,DESCRIPTIVE_UNSTABLE
main__glasses__all_available,main,glasses,all_available,primary,11,m10_midpoint,participant_day,gaussian,clock_hours,0.4385048735068392,FALSE,3283.873572409674,3291.3289513077843,7.455378898110212,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,0.28621972333386975,FALSE,3151.354555849024,3155.39119766553,4.036641816505835,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,13,mean_timing_above_250,participant_day,gaussian,clock_hours,0.7608133180182037,FALSE,2934.9271979464156,2951.6946890411764,16.76749109476077,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,14,first_timing_above_250,participant_day,gaussian,clock_hours,0.2340111553890989,FALSE,3288.275192301385,3287.864134784887,-0.411057516497749,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,15,last_timing_above_250,participant_day,gaussian,clock_hours,0.9120404264194872,FALSE,3091.1569498547947,3104.4396299799264,13.28268012513172,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,0,TRUE,1386.9025766215293,1384.4671571344795,-2.4354194870495576,DESCRIPTIVE_UNSTABLE
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,0.101698122637218,FALSE,528.0145057004667,531.9515760343372,3.9370703338705657,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.1391830701985325,FALSE,1163.2648442577315,1166.727872230359,3.4630279726272875,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.10664158264118304,FALSE,70.89686600927485,77.84583161123919,6.948965601964346,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,6,duration_above_1000,participant_day,tweedie_log,identity,,FALSE,1765.1011441335374,1768.0588624382162,2.9577183046787923,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,7,duration_above_250_wake,participant_day,tweedie_log,identity,,FALSE,2404.2056018527555,2410.5997325668723,6.394130714116727,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,0.14992752614564328,FALSE,1353.0162204073183,1354.0438036658193,1.0275832585007263,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,,FALSE,2549.47405877706,2548.117743241852,-1.3563155352080685,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,0.03234957733096142,FALSE,497.7344478681646,496.1535854298266,-1.580862438337988,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,11,m10_midpoint,participant_day,gaussian,clock_hours,0.48563987821684146,FALSE,2624.3974198776027,2632.3464236403083,7.949003762705615,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,0.3589959034547772,FALSE,2498.889899964372,2504.3444398610595,5.454539896687493,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,0.8287815807541957,FALSE,2276.3339655802665,2292.374952551407,16.040986971140683,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,14,first_timing_above_250,participant_day,gaussian,clock_hours,0.3966267215351854,FALSE,2520.021160410419,2522.7044476549668,2.683287244547955,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,15,last_timing_above_250,participant_day,gaussian,clock_hours,1.0072904774080902,FALSE,2273.026996756821,2286.328783726239,13.301786969418115,DESCRIPTIVE_PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,0,TRUE,1128.0499245799629,1125.9118472392718,-2.1380773406910976,DESCRIPTIVE_UNSTABLE
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,,,196.51665741939243,,,NON_ESTIMABLE
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,,,154.4319141438534,,,NON_ESTIMABLE
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,0.08977634926472841,FALSE,866.9407324886645,871.112064060566,4.171331571901533,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.1223451131601324,FALSE,1728.3022486648915,1732.530003826266,4.227755161374262,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.10108231396676733,FALSE,99.38324218031644,108.20720160564004,8.823959425323608,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,,FALSE,2554.9983969631935,2560.04120989343,5.042812930235868,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,,FALSE,3359.764002843644,3365.7888773912377,6.024874547593754,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,0,TRUE,2408.6761267140946,2405.4219532405987,-3.254173473495939,DESCRIPTIVE_UNSTABLE
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,,FALSE,3717.461967617543,3720.8988913851153,3.4369237675723525,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,0.03172338980450831,FALSE,701.5987518033263,699.6302482009595,-1.968503602366809,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,11,m10_midpoint,participant_day,gaussian,clock_hours,0.6273236470727922,FALSE,3645.043597647704,3657.5869672243166,12.543369576612804,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,0.5485570055914768,FALSE,3477.003422441122,3488.7935656956597,11.790143254537725,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,13,mean_timing_above_250,participant_day,gaussian,clock_hours,0.7793845941324096,FALSE,3308.106982756324,3325.81462207081,17.707639314485732,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,14,first_timing_above_250,participant_day,gaussian,clock_hours,0.837175766623829,FALSE,3775.361184930882,3787.3383741227326,11.977189191850812,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,15,last_timing_above_250,participant_day,gaussian,clock_hours,0.6533515850525572,FALSE,3745.1630194909617,3755.118326295154,9.955306804192787,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,0.0837686428129382,FALSE,1822.450476911666,1826.161702364914,3.7112254532478346,DESCRIPTIVE_PASS
