run_id,model_role,participant_key,observations,score_energy,score_share,leverage,leverage_share,score_rank,leverage_rank
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S019,141,4.9471747505244155,5.147481510290711e-4,0.045865835052375674,0.004169621368397784,94,113
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S035,120,4.9125556140365685,5.111460675377909e-4,0.040645615115730546,0.0036950559196118637,95,128
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S023,144,4.896296230750942,5.094542963946223e-4,0.04686024986612929,0.004260022715102658,96,111
gap_timing_unaware__chest__all_available,additive,BAUA::BAUA_S014,144,4.83506863377689,5.03083631535653e-4,0.10739844716572733,0.009763495196884292,97,24
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S012,120,4.832208238651872,5.027860105345634e-4,0.05864096354298023,0.00533099668572547,98,91
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S015,115,4.301935817507515,4.4761174196908935e-4,0.0376248218846213,0.0034204383531473872,99,131
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S032,139,4.243347927447818,4.4151573574296467e-4,0.051993825773040944,0.004726711433912807,100,102
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S003,95,4.1347578971118155,4.302170612157059e-4,0.03155053640376044,0.0028682305821600366,101,141
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S026,119,3.9986795742402594,4.160582597531448e-4,0.04329390155610898,0.003935809232373539,102,122
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S025,137,3.8971590709663464,4.054951618261415e-4,0.04508945232751694,0.004099041120683353,103,118
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S020,142,3.840885033184376,3.996399094123999e-4,0.04958306215789831,0.004507551105263478,104,107
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S022,144,3.717933569965122,3.868469434166625e-4,0.08534159918015671,0.007758327198196056,105,53
gap_timing_unaware__chest__all_available,additive,TUM::TUM_S001,140,3.6366263748847456,3.783870182182354e-4,0.131471690047259,0.011951971822478077,106,6
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S008,133,3.5791546714809805,3.724071499994216e-4,0.04770550912264857,0.00433686446569532,107,110
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S018,21,3.478986065137134,3.619847154773363e-4,0.023422193333676438,0.002129290303061492,108,147
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S002,144,3.408566545001923,3.546576410128429e-4,0.04510999570310932,0.004100908700282661,109,117
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S007,139,3.1171833237124242,3.243395338176675e-4,0.07660085015797653,0.006963713650725132,110,67
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S011,119,2.825803395280358,2.940217692407259e-4,0.0546605000625988,0.004969136369327158,111,99
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S016,139,2.723567264252723,2.8338421102444046e-4,0.040816946923029694,0.003710631538457241,112,126
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S010,72,2.666380499471539,2.774339903593369e-4,0.025172013804829908,0.002288364891348171,113,146
gap_timing_unaware__chest__all_available,additive,KNUST::KNUST_S009,141,2.614810671838673,2.720682058941547e-4,0.10361464257482315,0.009419512961347548,114,30
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S004,93,2.5201580556286225,2.6221970414494456e-4,0.032845107381443896,0.0029859188528585327,115,138
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S006,93,2.354909907499713,2.4502581409662606e-4,0.0452743672813668,0.004115851571033341,116,115
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S010,112,2.310478455883888,2.4040276989056498e-4,0.08466841362330428,0.007697128511209472,117,56
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S005,48,2.145453000884406,2.232320508201077e-4,0.013828585979849296,0.0012571441799862982,118,149
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S009,144,2.1047195212645384,2.189937765774029e-4,0.05003688696142548,0.004548807905584129,119,106
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S021,144,2.0304564532907152,2.1126678514148898e-4,0.05366380418042867,0.004878527652766237,120,100
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S001,94,1.8588366097880091,1.9340992712094863e-4,0.0284094937060857,0.0025826812460077882,121,143
gap_timing_unaware__chest__all_available,additive,THUAS::THUAS_S017,24,1.8341673067615,1.9084311297743668e-4,0.014283352602292408,0.0012984866002083992,122,148
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S036,116,1.5550017548547985,1.6179624099060174e-4,0.03880883376453631,0.0035280757967760244,123,129
